iter	Logloss
0	0.6883693429
1	0.6830396321
2	0.6778296413
3	0.6734100795
4	0.6687929308
5	0.6644629555
6	0.6605429209
7	0.6564877708
8	0.6534993391
9	0.649518173
10	0.6453926098
11	0.6421258089
12	0.6380371175
13	0.6339191276
14	0.6300566956
15	0.626432295
16	0.6228099642
17	0.6191884775
18	0.61559892
19	0.6118517939
20	0.6088659884
21	0.6057142803
22	0.6024930176
23	0.5995781886
24	0.5970727611
25	0.5946753119
26	0.5915134239
27	0.5889172173
28	0.5854466279
29	0.5827357766
30	0.5796948865
31	0.5770107502
32	0.5746278901
33	0.5723024481
34	0.5692832482
35	0.5668412322
36	0.564414775
37	0.5620804931
38	0.5594041373
39	0.556878307
40	0.5547132664
41	0.5528593455
42	0.5505549092
43	0.5488772523
44	0.5466799814
45	0.5445374815
46	0.5429670354
47	0.5410281711
48	0.5389403046
49	0.5370764358
50	0.5353953274
51	0.5336293569
52	0.5318573387
53	0.5304440882
54	0.5283891584
55	0.5265535453
56	0.5242147608
57	0.5225543723
58	0.5208658554
59	0.5190326436
60	0.5175365842
61	0.5163679749
62	0.5146415125
63	0.5133411293
64	0.5114170947
65	0.5097034524
66	0.5080916949
67	0.5062756719
68	0.5044600535
69	0.5032428296
70	0.5015480716
71	0.500078493
72	0.498620741
73	0.4968811834
74	0.49542657
75	0.4943262873
76	0.4925344336
77	0.4913335863
78	0.4899520303
79	0.4887336426
80	0.4877476154
81	0.4867473351
82	0.4855802562
83	0.4844831034
84	0.4831009131
85	0.481666957
86	0.4806266832
87	0.4796147822
88	0.4783577131
89	0.4772624501
90	0.4761441046
91	0.4748439129
92	0.4731949478
93	0.4720597135
94	0.470993531
95	0.4697510151
96	0.4684388439
97	0.4675667436
98	0.4662009541
99	0.4650778334
100	0.4638750216
101	0.4626879431
102	0.4612160918
103	0.4602304401
104	0.4593728012
105	0.4579703927
106	0.4570294177
107	0.4559764782
108	0.4547040275
109	0.453586977
110	0.4526273486
111	0.4514693378
112	0.4501374244
113	0.4492096597
114	0.4480469439
115	0.4471744511
116	0.4464281925
117	0.4454535294
118	0.4444686783
119	0.4433449611
120	0.442192352
121	0.441177078
122	0.4401781976
123	0.4392671527
124	0.4381436703
125	0.4371438775
126	0.4357851929
127	0.4349877666
128	0.4343457674
129	0.4334703605
130	0.4322879592
131	0.4313403009
132	0.4303094018
133	0.4295617042
134	0.4285034026
135	0.4272037758
136	0.4265002013
137	0.4255856162
138	0.4241222655
139	0.4233894856
140	0.4225829114
141	0.421875641
142	0.4212213147
143	0.4205547961
144	0.4197015642
145	0.4189820891
146	0.417304135
147	0.4164635879
148	0.415664661
149	0.4149596964
150	0.4141669779
151	0.4128862295
152	0.4121852729
153	0.411422933
154	0.4104662346
155	0.4097508503
156	0.4089053032
157	0.408159588
158	0.4074668191
159	0.4066513387
160	0.4059291883
161	0.4050109032
162	0.4043622541
163	0.4033141327
164	0.4027720994
165	0.4021887689
166	0.4014334099
167	0.4006818549
168	0.3998593484
169	0.3988771653
170	0.3981804345
171	0.3976436534
172	0.3967483739
173	0.3960832161
174	0.395459359
175	0.3943853788
176	0.3936211526
177	0.392577853
178	0.3917046293
179	0.3907556204
180	0.3898571855
181	0.3892945328
182	0.3885442059
183	0.3878735346
184	0.3872907817
185	0.3866074946
186	0.3854573378
187	0.3846544946
188	0.3839011519
189	0.3828659426
190	0.3823395501
191	0.381491322
192	0.3806137963
193	0.3798851954
194	0.3790644175
195	0.3784581548
196	0.3780036654
197	0.3774330013
198	0.3766805147
199	0.375938241
