iter	Passed	Remaining
0	22	22686
1	27	13574
2	30	10296
3	35	8720
4	39	7820
5	42	7047
6	47	6769
7	51	6442
8	55	6137
9	60	5945
10	63	5715
11	68	5598
12	72	5510
13	77	5431
14	80	5311
15	85	5242
16	89	5169
17	93	5117
18	97	5039
19	101	4975
20	105	4910
21	109	4849
22	113	4813
23	118	4799
24	122	4768
25	125	4710
26	129	4672
27	133	4629
28	136	4558
29	139	4511
30	143	4476
31	147	4459
32	151	4441
33	155	4429
34	163	4496
35	169	4545
36	173	4518
37	178	4512
38	181	4475
39	185	4444
40	188	4413
41	193	4403
42	197	4388
43	200	4359
44	204	4338
45	210	4361
46	214	4341
47	217	4319
48	222	4313
49	226	4312
50	231	4302
51	235	4290
52	239	4277
53	243	4264
54	247	4244
55	251	4236
56	256	4236
57	260	4228
58	264	4219
59	269	4219
60	274	4225
61	279	4221
62	283	4209
63	286	4195
64	290	4182
65	295	4183
66	299	4174
67	304	4166
68	308	4162
69	312	4156
70	317	4150
71	321	4140
72	324	4121
73	328	4115
74	333	4107
75	337	4106
76	341	4097
77	345	4089
78	350	4088
79	355	4085
80	359	4081
81	365	4087
82	371	4099
83	376	4107
84	383	4123
85	388	4128
86	393	4126
87	397	4118
88	401	4109
89	406	4105
90	410	4104
91	414	4094
92	418	4082
93	421	4064
94	425	4054
95	429	4041
96	433	4036
97	437	4031
98	442	4025
99	446	4022
100	450	4012
101	455	4011
102	459	4001
103	463	3992
104	467	3982
105	471	3975
106	475	3971
107	480	3969
108	485	3965
109	489	3958
110	492	3948
111	497	3942
112	501	3934
113	505	3930
114	509	3924
115	513	3914
116	517	3906
117	521	3897
118	525	3888
119	529	3883
120	534	3879
121	538	3875
122	542	3870
123	547	3867
124	551	3862
125	557	3864
126	562	3869
127	566	3861
128	571	3858
129	575	3851
130	580	3848
131	584	3845
132	589	3843
133	593	3838
134	598	3833
135	602	3825
136	606	3821
137	611	3817
138	615	3815
139	620	3809
140	624	3802
141	628	3796
142	632	3790
143	636	3786
144	641	3783
145	646	3780
146	651	3778
147	655	3775
148	660	3772
149	664	3763
150	668	3759
151	673	3759
152	678	3755
153	682	3751
154	686	3745
155	691	3741
156	695	3736
157	700	3733
158	704	3725
159	709	3726
160	713	3719
161	718	3717
162	723	3717
163	727	3710
164	731	3703
165	735	3696
166	740	3694
167	745	3691
168	750	3689
169	755	3688
170	762	3696
171	767	3694
172	772	3692
173	776	3685
174	780	3679
175	785	3676
176	790	3677
177	795	3672
178	799	3665
179	803	3662
180	808	3656
181	812	3650
182	816	3644
183	821	3641
184	825	3636
185	830	3633
186	835	3631
187	839	3627
188	843	3619
189	849	3619
190	852	3609
191	855	3602
192	859	3594
193	863	3587
194	868	3584
195	873	3581
196	877	3577
197	882	3573
198	886	3570
199	891	3564
200	895	3561
201	899	3552
202	903	3547
203	907	3541
204	911	3535
205	916	3531
206	919	3523
207	923	3516
208	928	3513
209	934	3514
210	938	3510
211	942	3504
212	946	3497
213	950	3490
214	953	3483
215	957	3476
216	961	3470
217	967	3471
218	972	3467
219	977	3464
220	980	3456
221	985	3453
222	989	3447
223	993	3442
224	997	3436
225	1002	3432
226	1006	3428
227	1011	3424
228	1015	3419
229	1020	3416
230	1024	3409
231	1027	3401
232	1030	3393
233	1034	3385
234	1038	3379
235	1042	3374
236	1046	3369
237	1050	3363
238	1055	3361
239	1059	3355
240	1064	3350
241	1068	3347
242	1072	3341
243	1077	3337
244	1081	3332
245	1085	3325
246	1088	3319
247	1093	3314
248	1097	3308
249	1101	3304
250	1105	3299
251	1110	3295
252	1113	3289
253	1117	3281
254	1121	3275
255	1125	3269
256	1128	3263
257	1132	3258
258	1136	3252
259	1141	3247
260	1144	3240
261	1148	3235
262	1152	3229
263	1157	3227
264	1162	3224
265	1166	3218
266	1171	3217
267	1176	3213
268	1180	3208
269	1184	3202
270	1188	3195
271	1192	3190
272	1195	3184
273	1199	3179
274	1204	3174
275	1208	3169
276	1212	3165
277	1217	3161
278	1221	3156
279	1225	3151
280	1229	3146
281	1233	3141
282	1237	3135
283	1241	3130
284	1246	3126
285	1249	3120
286	1253	3112
287	1256	3106
288	1260	3100
289	1263	3093
290	1267	3088
291	1271	3082
292	1274	3076
293	1279	3071
294	1282	3065
295	1288	3064
296	1291	3057
297	1295	3052
298	1300	3049
299	1304	3043
300	1308	3039
301	1312	3033
302	1317	3030
303	1321	3026
304	1326	3021
305	1330	3016
306	1334	3012
307	1338	3008
308	1343	3003
309	1347	2999
310	1351	2994
311	1355	2989
312	1359	2984
313	1363	2978
314	1367	2973
315	1371	2969
316	1375	2963
317	1379	2959
318	1383	2953
319	1387	2948
320	1392	2944
321	1396	2941
322	1401	2937
323	1405	2933
324	1410	2930
325	1415	2926
326	1420	2922
327	1424	2918
328	1428	2912
329	1432	2908
330	1436	2903
331	1441	2901
332	1446	2897
333	1450	2892
334	1454	2886
335	1458	2882
336	1462	2877
337	1466	2871
338	1469	2865
339	1473	2860
340	1478	2856
341	1482	2852
342	1486	2847
343	1490	2843
344	1495	2838
345	1499	2834
346	1504	2830
347	1508	2825
348	1512	2820
349	1516	2815
350	1519	2810
351	1523	2805
352	1528	2801
353	1532	2795
354	1536	2791
355	1540	2786
356	1544	2782
357	1548	2777
358	1553	2773
359	1556	2767
360	1561	2763
361	1566	2760
362	1570	2755
363	1574	2751
364	1578	2745
365	1582	2740
366	1585	2734
367	1589	2729
368	1593	2724
369	1597	2720
370	1601	2715
371	1605	2710
372	1609	2705
373	1613	2700
374	1617	2696
375	1621	2691
376	1626	2687
377	1630	2683
378	1634	2677
379	1638	2673
380	1642	2669
381	1646	2664
382	1650	2658
383	1654	2654
384	1659	2650
385	1663	2645
386	1666	2639
387	1670	2635
388	1675	2630
389	1678	2625
390	1683	2622
391	1688	2618
392	1693	2614
393	1697	2610
394	1701	2605
395	1704	2600
396	1709	2596
397	1713	2592
398	1718	2588
399	1722	2583
400	1726	2579
401	1731	2575
402	1735	2570
403	1739	2566
404	1743	2561
405	1748	2558
406	1752	2553
407	1756	2548
408	1760	2543
409	1763	2538
410	1768	2534
411	1772	2529
412	1777	2526
413	1781	2522
414	1785	2517
415	1789	2512
416	1794	2508
417	1798	2504
418	1802	2499
419	1806	2495
420	1810	2490
421	1814	2485
422	1818	2480
423	1823	2476
424	1827	2471
425	1831	2467
426	1835	2462
427	1839	2458
428	1843	2453
429	1846	2447
430	1850	2443
431	1854	2438
432	1859	2434
433	1863	2430
434	1867	2425
435	1871	2421
436	1875	2416
437	1879	2412
438	1883	2407
439	1887	2402
440	1890	2396
441	1895	2392
442	1899	2388
443	1903	2384
444	1908	2379
445	1911	2374
446	1915	2369
447	1918	2364
448	1922	2359
449	1926	2355
450	1931	2351
451	1936	2347
452	1939	2342
453	1944	2337
454	1948	2333
455	1951	2328
456	1956	2324
457	1960	2319
458	1964	2315
459	1968	2311
460	1973	2307
461	1977	2303
462	1982	2299
463	1986	2295
464	1991	2290
465	1995	2286
466	1999	2281
467	2004	2278
468	2008	2274
469	2013	2270
470	2017	2266
471	2021	2261
472	2025	2256
473	2030	2252
474	2034	2248
475	2038	2244
476	2042	2239
477	2046	2234
478	2051	2230
479	2055	2226
480	2059	2222
481	2064	2218
482	2068	2214
483	2073	2210
484	2077	2206
485	2082	2202
486	2086	2198
487	2090	2193
488	2095	2190
489	2099	2185
490	2104	2181
491	2108	2177
492	2113	2173
493	2117	2168
494	2121	2164
495	2125	2159
496	2130	2155
497	2134	2151
498	2138	2147
499	2143	2143
500	2147	2138
501	2151	2134
502	2155	2129
503	2160	2125
504	2164	2121
505	2168	2117
506	2172	2112
507	2176	2107
508	2180	2103
509	2185	2100
510	2190	2096
511	2194	2091
512	2198	2087
513	2202	2082
514	2207	2078
515	2212	2074
516	2215	2070
517	2220	2066
518	2224	2061
519	2227	2056
520	2232	2052
521	2236	2047
522	2240	2043
523	2244	2038
524	2248	2034
525	2252	2029
526	2256	2025
527	2261	2021
528	2265	2017
529	2269	2012
530	2273	2008
531	2277	2003
532	2282	1999
533	2286	1995
534	2290	1990
535	2293	1985
536	2297	1980
537	2301	1976
538	2305	1971
539	2310	1967
540	2314	1963
541	2318	1959
542	2322	1954
543	2326	1950
544	2331	1946
545	2336	1942
546	2340	1938
547	2345	1934
548	2348	1929
549	2352	1924
550	2356	1920
551	2360	1916
552	2365	1911
553	2369	1907
554	2373	1903
555	2378	1899
556	2383	1895
557	2388	1892
558	2392	1887
559	2396	1883
560	2401	1879
561	2405	1874
562	2410	1870
563	2413	1866
564	2417	1861
